ImageId,file_path_image,file_path_mask_eroded_0_dilated_0,is_test,is_train,is_valid,n_buildings
0,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_000.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_000.png,0,1,0,
1,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_001.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_001.png,0,1,0,
2,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_002.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_002.png,0,1,0,
3,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_003.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_003.png,0,1,0,
4,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_004.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_004.png,0,1,0,
5,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_005.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_005.png,0,1,0,
6,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_006.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_006.png,0,1,0,
7,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_007.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_007.png,0,1,0,
8,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_008.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_008.png,0,1,0,
9,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_009.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_009.png,0,1,0,
10,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_010.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_010.png,0,1,0,
11,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_011.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_011.png,0,1,0,
12,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/train/images/000032_000086-RGB-7cm_012.tif,/Users/sukryool.kang/data/GIS_data/LosAngeles_2017/TILE/mask/images/000032_000086-RGB-7cm_012.png,0,1,0,
